SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-8-2018,Single Family Residential,4128 W 122nd St,Hawthorne,CA,90250,682500,3,2.5,108 - North Hawthorne,1944,3091,2008,14,351,,Sold,,,http://www.redfin.com/CA/Hawthorne/4128-W-122nd-St-90250/home/21926223,CRMLS,SB18001629,N,Y,33.9217177,-118.3468112
PAST SALE,September-26-2017,Single Family Residential,10816 South Burl Ave,Inglewood,CA,90304,365000,1,1.0,Lennox,480,4424,1938,149,760,,Sold,,,http://www.redfin.com/CA/Inglewood/10816-S-Burl-Ave-90304/home/6488080,TheMLS,17-260038,N,Y,33.9376094,-118.3622661
PAST SALE,September-26-2017,Single Family Residential,3619 N Poinsettia Ave,Manhattan Beach,CA,90266,1550000,3,2.5,143 - Manhattan Bch Tree,1329,5297,1955,149,1166,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/3619-N-Poinsettia-Ave-90266/home/6707894,CRMLS,SB17196853,N,Y,33.9015932,-118.4009409
PAST SALE,October-6-2017,Single Family Residential,5015 W 140th St,Hawthorne,CA,90250,555000,2,1.0,109 - Ramona/Burleigh,886,6023,1940,139,626,,Sold,,,http://www.redfin.com/CA/Hawthorne/5015-W-140th-St-90250/home/6676412,CRISNet,SR17194241,N,Y,33.904598,-118.3662836
PAST SALE,,Single Family Residential,11002 S Truro Ave,Lennox,CA,90304,350000,2,1.0,,1150,5304,1951,,304,,,,,http://www.redfin.com/CA/Lennox/11002-S-Truro-Ave-90304/home/6485228,,,N,Y,33.9359097,-118.3578143
PAST SALE,September-18-2017,Single Family Residential,1011 Maple St,Inglewood,CA,90301,465000,2,1.0,102 - South Inglewood,680,4443,1925,157,684,,Sold,,,http://www.redfin.com/CA/Inglewood/1011-Maple-St-90301/home/6458966,CRMLS,IN17099283,N,Y,33.950347,-118.354095
PAST SALE,,Single Family Residential,927 S Eucalyptus Ave,Inglewood,CA,90301,531000,3,2.0,,1600,5281,1958,,332,,,,,http://www.redfin.com/CA/Inglewood/927-S-Eucalyptus-Ave-90301/home/6456832,,,N,Y,33.9516892,-118.3593941
PAST SALE,February-7-2018,Single Family Residential,324 Magnolia Ave,Inglewood,CA,90301,565000,2,1.0,101 - North Inglewood,1092,6495,1938,15,517,,Sold,,,http://www.redfin.com/CA/Inglewood/324-Magnolia-Ave-90301/home/6454128,CRMLS,WS18008072,N,Y,33.9542338,-118.3605991
PAST SALE,October-31-2017,Single Family Residential,15005 Kingsdale Ave,Lawndale,CA,90260,549000,3,3.0,112 - North Lawndale,2039,2502,1988,114,269,,Sold,,,http://www.redfin.com/CA/Lawndale/15005-Kingsdale-Ave-90260/home/6564382,CRMLS,SB17217046,N,Y,33.895407,-118.3570382
PAST SALE,October-31-2017,Single Family Residential,5503 Wiseburn St,Hawthorne,CA,90250,845525,3,2.0,107 - Holly Glen/Del Aire,1488,4994,1955,114,568,,Sold,,,http://www.redfin.com/CA/Hawthorne/5503-Wiseburn-St-90250/home/6671936,CRMLS,SB17204779,N,Y,33.9127436,-118.3766229
PAST SALE,October-16-2017,Single Family Residential,254 W 98th St,Inglewood,CA,90301,480000,3,1.0,102 - South Inglewood,1135,5006,1938,129,423,,Sold,,,http://www.redfin.com/CA/Inglewood/254-W-98th-St-90301/home/6457157,CRMLS,IN17189839,N,Y,33.9470702,-118.3583287
PAST SALE,January-5-2018,Single Family Residential,1134 S Truro Ave,Los Angeles,CA,90301,430000,3,2.0,699 - Not Defined,1274,5888,1936,48,338,,Sold,,,http://www.redfin.com/CA/Inglewood/1134-S-Truro-Ave-90301/home/6457654,CRISNet,SR16200889,N,Y,33.9477573,-118.357805
PAST SALE,,Single Family Residential,5020 W 124th St,Hawthorne,CA,90250,400000,3,1.0,,1008,5005,1944,,397,,,,,http://www.redfin.com/CA/Hawthorne/5020-W-124th-St-90250/home/6666638,,,N,Y,33.9198484,-118.3668542
PAST SALE,September-26-2017,Single Family Residential,4922 W 140th St,Hawthorne,CA,90250,775000,3,1.75,109 - Ramona/Burleigh,1673,6001,1942,149,463,,Sold,,,http://www.redfin.com/CA/Hawthorne/4922-W-140th-St-90250/home/6676743,CRMLS,WS17196204,N,Y,33.9041984,-118.3649819
PAST SALE,September-5-2017,Single Family Residential,10214 South Inglewood Ave,Inglewood,CA,90304,485000,2,1.0,Lennox,1388,5782,1930,170,349,,Sold,,,http://www.redfin.com/CA/Inglewood/10214-S-Inglewood-Ave-90304/home/6483037,TheMLS,17-234244,N,Y,33.9432036,-118.3610716
PAST SALE,September-6-2017,Single Family Residential,121 Rosecrans Pl,Manhattan Beach,CA,90266,1750000,3,1.75,142 - Manhattan Bch Sand,1340,1351,1964,169,1306,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/121-Rosecrans-Pl-90266/home/6656842,CRMLS,SB17152191,N,Y,33.9010279,-118.4191913
PAST SALE,September-6-2017,Single Family Residential,5007 W 117th St,Hawthorne,CA,90250,535000,2,1.0,108 - North Hawthorne,1037,7054,1941,169,516,,Sold,,,http://www.redfin.com/CA/Hawthorne/5007-W-117th-St-90250/home/6664502,CRISNet,SR17102759,N,Y,33.9283738,-118.3660243
